username, created_at, lng, lat, text
KHint1, Fri Apr 24 03:04:26 +0000 2020, -75.386460, 39.145024, I’m loving the sound of that ⭐️ 
alexsan_91, Fri Apr 24 03:04:26 +0000 2020, -111.498181, 28.969863, @sergiovallep @uniradionoticia @Stereo_100 @juanczuniga @michelleriveraa @LaGabyMedina @GloriaElvira8 @KatyAmavizca… https://t.co/irG6kZNzqb 
Rileyweaver19, Fri Apr 24 03:04:26 +0000 2020, -100.076888, 31.168893, @evxncarter @colebailey_24 lord help me🤦‍♀️ 
LisaA08, Fri Apr 24 03:04:26 +0000 2020, -81.734812, 41.384923, I’m all about accuracy &amp; i had 1 photo wrong on my night 1 collage so here’s a new one lol! #NKOTBVirtualCruise https://t.co/mcnB980Ryl 
patrickgoff_, Fri Apr 24 03:04:26 +0000 2020, -90.079239, 30.404170, The look of approval after the grind😂 
jerellrushin_, Fri Apr 24 03:04:26 +0000 2020, -88.565336, 44.033276, @RealEvanSully Something about that yells reloading! 
vibinwithant, Fri Apr 24 03:04:26 +0000 2020, -94.649311, 31.613941, @_4simonlv Omm gots too 
rexmenor, Fri Apr 24 03:04:26 +0000 2020, -80.095050, 26.976239, @wingoz almost 
BlackCloudClub1, Fri Apr 24 03:04:26 +0000 2020, -85.688107, 38.120774, @SlutsMagoo Derby Pie 
ShellyABaker, Fri Apr 24 03:04:26 +0000 2020, -86.791549, 36.200008, I love seeing the families celebrate.#NFLDraft 
JuliaHannon7, Fri Apr 24 03:04:26 +0000 2020, -73.860857, 40.944568, thinking about how i met @matthewmaltese while day drunk in a brooklyn deli 
DillyDiIIy0, Fri Apr 24 03:04:26 +0000 2020, -93.197723, 30.202771, Kristian Fulton tk Saints 👀 
sdpetee, Fri Apr 24 03:04:26 +0000 2020, -85.491540, 32.597245, @KyleKulinski How dare you misspell a perfectly good name in a conqueror’s language 
Sandy_CheeksxO, Fri Apr 24 03:04:26 +0000 2020, -75.117998, 40.004866, I feel so exhausted 😪 
Slender2134, Fri Apr 24 03:04:26 +0000 2020, -95.818827, 36.298144, Repping the @fullsend flag!! Got Auntie Killers Navy hoodie on the way❗️ https://t.co/9sGRRZ6DuR 
braidsbyBoobie, Fri Apr 24 03:04:26 +0000 2020, -77.418900, 37.571490, #braids #braidart #kids #kidsbraids  #freestyle  #design #cornrows #boys #kidshairstyle #sidebraids #fashion… https://t.co/40OWehtfm6 
LJSLaw, Fri Apr 24 03:04:26 +0000 2020, -87.843186, 30.629936, @LockedOnBama The athletic one 
IsufiDonika, Fri Apr 24 03:04:26 +0000 2020, -73.723025, 45.557830, I'm a real bee surrounded by wanna bee's 
Dsquar3d_Durant, Fri Apr 24 03:04:26 +0000 2020, -80.926628, 33.631140, Thank you, Bruh.. 
LeeUSoftball, Fri Apr 24 03:04:26 +0000 2020, -84.817263, 35.141948, @LeeUFlames Lexie wears a 22 and scrubs. Go Lexie! We are so proud of you! 
coop92677, Fri Apr 24 03:04:26 +0000 2020, -117.072318, 33.120359, https://t.co/5mIOvvjrYh 
WestUpMayyne, Fri Apr 24 03:04:27 +0000 2020, -106.260972, 31.645553, #NewProfilePic #SteelerNation 🖤💛 #HereWeGo #NFLDraft2020 https://t.co/y4667u5oI4 
Ann91237283, Fri Apr 24 03:04:27 +0000 2020, -79.300889, 36.087839, @MferrariMaryann @brennan_elliott @hallmarkchannel WOW I had tears in my eyes when I typed that.  It should say I so agree with you. 🥴🤭😉 
_MyBelovedSon, Fri Apr 24 03:04:27 +0000 2020, -74.184848, 40.734494, 😭😭😭😭 "back in the hood they used to call me MEAT" 
esquivel424, Fri Apr 24 03:04:27 +0000 2020, -95.446486, 29.838495, Me to all my friends 💀 I miss saying this 
finchieeee, Fri Apr 24 03:04:27 +0000 2020, -82.063185, 33.440717, She gone need some Awesome to get that Sharpie off her forehead 😭 
DoctoYou, Fri Apr 24 03:04:27 +0000 2020, -84.266174, 30.476216, @GovGoneWild @steveschale @Jaguars @nyjets @NFL 😂🤣🤣 @jets fan 
adriaaan_campos, Fri Apr 24 03:04:27 +0000 2020, -115.038337, 36.006256, @janizjim I love it 😤 
HodgepodgeHoops, Fri Apr 24 03:04:27 +0000 2020, -85.069019, 33.580082, Man there’s a lot of ugly in here https://t.co/kmhfA7NPBD 
RealBigSwank, Fri Apr 24 03:04:27 +0000 2020, -90.309235, 29.965083, they be punishing y’all and they my division rivals , i said “FUCKKKK..proud of my nigga but FUCKKKK” 😂😂😂😂😂😂 
cpugs50, Fri Apr 24 03:04:27 +0000 2020, -81.491811, 28.457143, @gregauman do we trade late in the 1st round to get our RB? 
Tamachick, Fri Apr 24 03:04:27 +0000 2020, -86.791549, 36.200008, @dietrying4410 If I can, I will!!  :) 
ntuit84, Fri Apr 24 03:04:27 +0000 2020, -90.011008, 29.982601, @VertMyron Lol at all especially if that baby in the oven 
BuggsyWhite, Fri Apr 24 03:04:27 +0000 2020, -90.178629, 30.001244, @espn This guy is a class act. He will impact the NFL from day one on and off the field. 
RaiderNation702, Fri Apr 24 03:04:27 +0000 2020, -115.038337, 36.006256, @CiceroCharlie @GoldenKnights @Raiders @reavo7five https://t.co/Q4bWbN7CWx 
SeaCoug8606, Fri Apr 24 03:04:27 +0000 2020, -86.791549, 36.200008, @RM_Preston I’m all in on “Who??” this year 
TonyBrinkhaus, Fri Apr 24 03:04:27 +0000 2020, -93.361321, 46.441861, Very happy with the Jefferson pick, Slick Rick. SKOL @Vikings 
Miss_Bellatrix, Fri Apr 24 03:04:27 +0000 2020, -81.710025, 43.737736, I don't condone Jeff Davis or his cause. I actually think he is a deplorable human. But his story leading up to his… https://t.co/zJeVzKac6H 
KingKmb707, Fri Apr 24 03:04:27 +0000 2020, -86.244729, 32.364145, Told the falcons fans that at me head that this was a good ass pick 
Reggiebub, Fri Apr 24 03:04:27 +0000 2020, -71.213683, 42.325392, She’s trying to keep he head from exploding 🤦‍♂️ 
patrickgillon1, Fri Apr 24 03:04:27 +0000 2020, -73.926137, 41.093821, @TDA3397 That guy is a best 360+ pounds !! 
